CCAA,Fecha,OCUPADAS_COVID19
ANDALUCÍA,2021-01-06,1237
ANDALUCÍA,2021-01-07,1300
ANDALUCÍA,2021-01-08,1351
ANDALUCÍA,2021-01-09,1401
ANDALUCÍA,2021-01-10,1588
ANDALUCÍA,2021-01-11,1755
ANDALUCÍA,2021-01-12,1836
ANDALUCÍA,2021-01-13,1998
ANDALUCÍA,2021-01-14,2172
ANDALUCÍA,2021-01-15,2301
ANDALUCÍA,2021-01-16,2350
ANDALUCÍA,2021-01-17,2757
ANDALUCÍA,2021-01-18,2958
ANDALUCÍA,2021-01-19,3110
ANDALUCÍA,2021-01-20,3373
ANDALUCÍA,2021-01-21,3525
ANDALUCÍA,2021-01-22,3724
ANDALUCÍA,2021-01-23,3804
ANDALUCÍA,2021-01-24,4147
ANDALUCÍA,2021-01-25,4216
ANDALUCÍA,2021-01-26,4446
ANDALUCÍA,2021-01-27,4539
ANDALUCÍA,2021-01-28,4574
ANDALUCÍA,2021-01-29,4588
ANDALUCÍA,2021-01-30,4618
ANDALUCÍA,2021-01-31,4962
ANDALUCÍA,2021-02-01,4939
ANDALUCÍA,2021-02-02,4913
ANDALUCÍA,2021-02-03,4762
ANDALUCÍA,2021-02-04,4654
ANDALUCÍA,2021-02-05,4388
ANDALUCÍA,2021-02-06,4371
ANDALUCÍA,2021-02-07,4540
ANDALUCÍA,2021-02-08,4357
ANDALUCÍA,2021-02-09,4116
ANDALUCÍA,2021-02-10,3904
ANDALUCÍA,2021-02-11,3725
ANDALUCÍA,2021-02-12,3447
ANDALUCÍA,2021-02-13,3436
ANDALUCÍA,2021-02-14,3429
ANDALUCÍA,2021-02-15,3230
ANDALUCÍA,2021-02-16,2996
ANDALUCÍA,2021-02-17,2849
ANDALUCÍA,2021-02-18,2623
ANDALUCÍA,2021-02-19,2293
ANDALUCÍA,2021-02-20,2291
ANDALUCÍA,2021-02-21,2287
ANDALUCÍA,2021-02-22,2151
ANDALUCÍA,2021-02-23,2134
ANDALUCÍA,2021-02-24,2023
ANDALUCÍA,2021-02-25,1932
ANDALUCÍA,2021-02-26,1789
ANDALUCÍA,2021-02-27,1788
ANDALUCÍA,2021-02-28,1802
ANDALUCÍA,2021-03-01,1780
ANDALUCÍA,2021-03-02,1681
ANDALUCÍA,2021-03-03,1557
ANDALUCÍA,2021-03-04,1503
ANDALUCÍA,2021-03-05,1384
ANDALUCÍA,2021-03-06,1375
ANDALUCÍA,2021-03-07,1404
ANDALUCÍA,2021-03-08,1367
ANDALUCÍA,2021-03-09,1317
ANDALUCÍA,2021-03-10,1221
ANDALUCÍA,2021-03-11,1202
ANDALUCÍA,2021-03-12,1153
ANDALUCÍA,2021-03-13,1158
ANDALUCÍA,2021-03-14,1211
ANDALUCÍA,2021-03-15,1163
ANDALUCÍA,2021-03-16,1136
ANDALUCÍA,2021-03-17,1087
ANDALUCÍA,2021-03-18,1056
ANDALUCÍA,2021-03-19,1045
ANDALUCÍA,2021-03-20,1051
ANDALUCÍA,2021-03-21,1110
ANDALUCÍA,2021-03-22,1092
ANDALUCÍA,2021-03-23,1060
ANDALUCÍA,2021-03-24,1049
ANDALUCÍA,2021-03-25,1009
ANDALUCÍA,2021-03-26,1005
ANDALUCÍA,2021-03-27,1003
ANDALUCÍA,2021-03-28,1059
ANDALUCÍA,2021-03-29,1059
ANDALUCÍA,2021-03-30,1060
ANDALUCÍA,2021-03-31,1069
ANDALUCÍA,2021-04-01,1071
ANDALUCÍA,2021-04-02,1146
ANDALUCÍA,2021-04-03,1057
ANDALUCÍA,2021-04-04,1337
ANDALUCÍA,2021-04-05,1367
ANDALUCÍA,2021-04-06,1365
ANDALUCÍA,2021-04-07,1397
ANDALUCÍA,2021-04-08,1380
ANDALUCÍA,2021-04-09,1351
ANDALUCÍA,2021-04-10,1369
ANDALUCÍA,2021-04-11,1495
ANDALUCÍA,2021-04-12,1496
ANDALUCÍA,2021-04-13,1494
ANDALUCÍA,2021-04-14,1480
ANDALUCÍA,2021-04-15,1496
ANDALUCÍA,2021-04-16,1467
ANDALUCÍA,2021-04-17,1495
ANDALUCÍA,2021-04-18,1613
ANDALUCÍA,2021-04-19,1602
ANDALUCÍA,2021-04-20,1559
ANDALUCÍA,2021-04-21,1501
ANDALUCÍA,2021-04-22,1455
ANDALUCÍA,2021-04-23,1445
ANDALUCÍA,2021-04-24,1456
ANDALUCÍA,2021-04-25,1531
ANDALUCÍA,2021-04-26,1509
ANDALUCÍA,2021-04-27,1469
ANDALUCÍA,2021-04-28,1450
ANDALUCÍA,2021-04-29,1398
ANDALUCÍA,2021-04-30,1319
ANDALUCÍA,2021-05-01,1321
ANDALUCÍA,2021-05-02,1378
ANDALUCÍA,2021-05-03,1329
ANDALUCÍA,2021-05-04,1283
ANDALUCÍA,2021-05-05,1241
ANDALUCÍA,2021-05-06,1210
ANDALUCÍA,2021-05-07,1177
ANDALUCÍA,2021-05-08,1183
ANDALUCÍA,2021-05-09,1252
ARAGÓN,2020-08-19,536
ARAGÓN,2020-08-20,541
ARAGÓN,2020-08-21,542
ARAGÓN,2020-08-22,537
ARAGÓN,2020-08-23,537
ARAGÓN,2020-08-24,525
ARAGÓN,2020-08-25,525
ARAGÓN,2020-08-26,516
ARAGÓN,2020-08-27,513
ARAGÓN,2020-08-28,495
ARAGÓN,2020-08-29,497
ARAGÓN,2020-08-30,525
ARAGÓN,2020-08-31,512
ARAGÓN,2020-09-01,495
ARAGÓN,2020-09-02,478
ARAGÓN,2020-09-03,466
ARAGÓN,2020-09-04,442
ARAGÓN,2020-09-05,446
ARAGÓN,2020-09-06,485
ARAGÓN,2020-09-07,474
ARAGÓN,2020-09-08,488
ARAGÓN,2020-09-09,475
ARAGÓN,2020-09-10,461
ARAGÓN,2020-09-11,450
ARAGÓN,2020-09-12,454
ARAGÓN,2020-09-13,479
ARAGÓN,2020-09-14,482
ARAGÓN,2020-09-15,470
ARAGÓN,2020-09-16,469
ARAGÓN,2020-09-17,473
ARAGÓN,2020-09-18,457
ARAGÓN,2020-09-19,463
ARAGÓN,2020-09-20,488
ARAGÓN,2020-09-21,508
ARAGÓN,2020-09-22,517
ARAGÓN,2020-09-23,476
ARAGÓN,2020-09-24,463
ARAGÓN,2020-09-25,447
ARAGÓN,2020-09-26,454
ARAGÓN,2020-09-27,485
ARAGÓN,2020-09-28,460
ARAGÓN,2020-09-29,422
ARAGÓN,2020-09-30,433
ARAGÓN,2020-10-01,424
ARAGÓN,2020-10-02,410
ARAGÓN,2020-10-03,412
ARAGÓN,2020-10-04,453
ARAGÓN,2020-10-05,422
ARAGÓN,2020-10-06,422
ARAGÓN,2020-10-07,431
ARAGÓN,2020-10-08,432
ARAGÓN,2020-10-09,410
ARAGÓN,2020-10-10,408
ARAGÓN,2020-10-11,422
ARAGÓN,2020-10-12,455
ARAGÓN,2020-10-13,492
ARAGÓN,2020-10-14,502
ARAGÓN,2020-10-15,524
ARAGÓN,2020-10-16,525
ARAGÓN,2020-10-17,522
ARAGÓN,2020-10-18,578
ARAGÓN,2020-10-19,580
ARAGÓN,2020-10-20,595
ARAGÓN,2020-10-21,628
ARAGÓN,2020-10-22,640
ARAGÓN,2020-10-23,638
ARAGÓN,2020-10-24,643
ARAGÓN,2020-10-25,744
ARAGÓN,2020-10-26,798
ARAGÓN,2020-10-27,827
ARAGÓN,2020-10-28,852
ARAGÓN,2020-10-29,883
ARAGÓN,2020-10-30,888
ARAGÓN,2020-10-31,918
ARAGÓN,2020-11-01,929
ARAGÓN,2020-11-02,1017
ARAGÓN,2020-11-03,1040
ARAGÓN,2020-11-04,1041
ARAGÓN,2020-11-05,998
ARAGÓN,2020-11-06,931
ARAGÓN,2020-11-07,934
ARAGÓN,2020-11-08,1012
ARAGÓN,2020-11-09,999
ARAGÓN,2020-11-10,977
ARAGÓN,2020-11-11,984
ARAGÓN,2020-11-12,947
ARAGÓN,2020-11-13,897
ARAGÓN,2020-11-14,893
ARAGÓN,2020-11-15,920
ARAGÓN,2020-11-16,884
ARAGÓN,2020-11-17,846
ARAGÓN,2020-11-18,778
ARAGÓN,2020-11-19,738
ARAGÓN,2020-11-20,665
ARAGÓN,2020-11-21,670
ARAGÓN,2020-11-22,709
ARAGÓN,2020-11-23,679
ARAGÓN,2020-11-24,622
ARAGÓN,2020-11-25,583
ARAGÓN,2020-11-26,572
ARAGÓN,2020-11-27,555
ARAGÓN,2020-11-28,558
ARAGÓN,2020-11-29,581
ARAGÓN,2020-11-30,567
ARAGÓN,2020-12-01,546
ARAGÓN,2020-12-02,540
ARAGÓN,2020-12-03,522
ARAGÓN,2020-12-04,473
ARAGÓN,2020-12-05,470
ARAGÓN,2020-12-06,472
ARAGÓN,2020-12-07,469
ARAGÓN,2020-12-08,497
ARAGÓN,2020-12-09,485
ARAGÓN,2020-12-10,463
ARAGÓN,2020-12-11,416
ARAGÓN,2020-12-12,418
ARAGÓN,2020-12-13,421
ARAGÓN,2020-12-14,426
ARAGÓN,2020-12-15,417
ARAGÓN,2020-12-16,386
ARAGÓN,2020-12-17,387
ARAGÓN,2020-12-18,374
ARAGÓN,2020-12-19,370
ARAGÓN,2020-12-20,391
