Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Granada;25-29;53.917
Ambos sexos;Granada;30-34;56.936
Ambos sexos;Granada;35-39;63.050
Ambos sexos;Granada;40-44;72.889
Ambos sexos;Granada;45-49;71.844
Ambos sexos;Granada;50-54;71.792
Ambos sexos;Granada;55-59;68.831
Ambos sexos;Granada;60-64;59.813
Ambos sexos;Granada;65-69;46.369
Ambos sexos;Granada;70-74;39.359
Ambos sexos;Granada;75-79;31.902
Ambos sexos;Granada;80-84;24.032
Ambos sexos;Granada;85-89;17.686
Ambos sexos;Granada;90-94;7.041
Ambos sexos;Granada;95-99;1.562
Ambos sexos;Granada;100 y más;294
Ambos sexos;Huelva;Total;524.613
Ambos sexos;Huelva;0-4;21.577
Ambos sexos;Huelva;5-9;26.284
Ambos sexos;Huelva;10-14;30.107
Ambos sexos;Huelva;15-19;28.121
Ambos sexos;Huelva;20-24;27.360
Ambos sexos;Huelva;25-29;29.726
Ambos sexos;Huelva;30-34;32.826
Ambos sexos;Huelva;35-39;38.177
Ambos sexos;Huelva;40-44;45.557
Ambos sexos;Huelva;45-49;44.384
Ambos sexos;Huelva;50-54;41.893
Ambos sexos;Huelva;55-59;36.726
Ambos sexos;Huelva;60-64;31.680
Ambos sexos;Huelva;65-69;25.167
Ambos sexos;Huelva;70-74;21.975
Ambos sexos;Huelva;75-79;17.485
Ambos sexos;Huelva;80-84;12.451
Ambos sexos;Huelva;85-89;8.907
Ambos sexos;Huelva;90-94;3.298
Ambos sexos;Huelva;95-99;729
Ambos sexos;Huelva;100 y más;183
Ambos sexos;Jaén;Total;626.755
Ambos sexos;Jaén;0-4;23.921
Ambos sexos;Jaén;5-9;28.163
Ambos sexos;Jaén;10-14;32.964
Ambos sexos;Jaén;15-19;33.536
Ambos sexos;Jaén;20-24;35.350
Ambos sexos;Jaén;25-29;38.136
Ambos sexos;Jaén;30-34;37.760
Ambos sexos;Jaén;35-39;39.535
Ambos sexos;Jaén;40-44;44.880
Ambos sexos;Jaén;45-49;46.420
Ambos sexos;Jaén;50-54;49.399
Ambos sexos;Jaén;55-59;50.285
Ambos sexos;Jaén;60-64;43.196
Ambos sexos;Jaén;65-69;32.189
Ambos sexos;Jaén;70-74;26.473
Ambos sexos;Jaén;75-79;22.575
Ambos sexos;Jaén;80-84;19.440
Ambos sexos;Jaén;85-89;14.793
Ambos sexos;Jaén;90-94;6.311
Ambos sexos;Jaén;95-99;1.268
Ambos sexos;Jaén;100 y más;161
