Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Segovia;100 y más;97
Ambos sexos;Soria;Total;88.658
Ambos sexos;Soria;0-4;3.108
Ambos sexos;Soria;5-9;3.576
Ambos sexos;Soria;10-14;3.944
Ambos sexos;Soria;15-19;4.004
Ambos sexos;Soria;20-24;4.268
Ambos sexos;Soria;25-29;4.224
Ambos sexos;Soria;30-34;4.519
Ambos sexos;Soria;35-39;5.204
Ambos sexos;Soria;40-44;6.270
Ambos sexos;Soria;45-49;6.476
Ambos sexos;Soria;50-54;7.007
Ambos sexos;Soria;55-59;7.188
Ambos sexos;Soria;60-64;6.433
Ambos sexos;Soria;65-69;4.976
Ambos sexos;Soria;70-74;4.494
Ambos sexos;Soria;75-79;4.004
Ambos sexos;Soria;80-84;3.286
Ambos sexos;Soria;85-89;3.208
Ambos sexos;Soria;90-94;1.813
Ambos sexos;Soria;95-99;555
Ambos sexos;Soria;100 y más;101
Ambos sexos;Valladolid;Total;519.184
Ambos sexos;Valladolid;0-4;17.845
Ambos sexos;Valladolid;5-9;23.011
Ambos sexos;Valladolid;10-14;25.453
Ambos sexos;Valladolid;15-19;23.969
Ambos sexos;Valladolid;20-24;22.596
Ambos sexos;Valladolid;25-29;22.798
Ambos sexos;Valladolid;30-34;24.896
Ambos sexos;Valladolid;35-39;31.830
Ambos sexos;Valladolid;40-44;42.523
Ambos sexos;Valladolid;45-49;43.871
Ambos sexos;Valladolid;50-54;42.051
Ambos sexos;Valladolid;55-59;39.407
Ambos sexos;Valladolid;60-64;36.532
Ambos sexos;Valladolid;65-69;31.315
Ambos sexos;Valladolid;70-74;29.270
Ambos sexos;Valladolid;75-79;24.284
Ambos sexos;Valladolid;80-84;16.771
Ambos sexos;Valladolid;85-89;12.634
Ambos sexos;Valladolid;90-94;6.146
Ambos sexos;Valladolid;95-99;1.736
Ambos sexos;Valladolid;100 y más;246
Ambos sexos;Zamora;Total;168.720
Ambos sexos;Zamora;0-4;4.241
Ambos sexos;Zamora;5-9;5.255
Ambos sexos;Zamora;10-14;5.992
Ambos sexos;Zamora;15-19;6.198
Ambos sexos;Zamora;20-24;6.770
Ambos sexos;Zamora;25-29;7.080
Ambos sexos;Zamora;30-34;7.874
Ambos sexos;Zamora;35-39;9.230
Ambos sexos;Zamora;40-44;11.489
Ambos sexos;Zamora;45-49;11.696
Ambos sexos;Zamora;50-54;12.817
Ambos sexos;Zamora;55-59;14.083
Ambos sexos;Zamora;60-64;13.342
Ambos sexos;Zamora;65-69;11.452
Ambos sexos;Zamora;70-74;10.532
Ambos sexos;Zamora;75-79;9.829
Ambos sexos;Zamora;80-84;8.404
Ambos sexos;Zamora;85-89;7.460
Ambos sexos;Zamora;90-94;3.743
Ambos sexos;Zamora;95-99;1.074
Ambos sexos;Zamora;100 y más;159
Ambos sexos;CASTILLA - LA MANCHA;Total;2.047.792
Ambos sexos;CASTILLA - LA MANCHA;0-4;82.944
Ambos sexos;CASTILLA - LA MANCHA;5-9;102.517
Ambos sexos;CASTILLA - LA MANCHA;10-14;113.732
Ambos sexos;CASTILLA - LA MANCHA;15-19;107.714
Ambos sexos;CASTILLA - LA MANCHA;20-24;107.893
Ambos sexos;CASTILLA - LA MANCHA;25-29;110.770
Ambos sexos;CASTILLA - LA MANCHA;30-34;119.899
Ambos sexos;CASTILLA - LA MANCHA;35-39;139.671
Ambos sexos;CASTILLA - LA MANCHA;40-44;167.228
Ambos sexos;CASTILLA - LA MANCHA;45-49;164.630
Ambos sexos;CASTILLA - LA MANCHA;50-54;159.989
Ambos sexos;CASTILLA - LA MANCHA;55-59;151.284
Ambos sexos;CASTILLA - LA MANCHA;60-64;129.776
Ambos sexos;CASTILLA - LA MANCHA;65-69;98.482
Ambos sexos;CASTILLA - LA MANCHA;70-74;86.571
Ambos sexos;CASTILLA - LA MANCHA;75-79;70.218
Ambos sexos;CASTILLA - LA MANCHA;80-84;58.691
Ambos sexos;CASTILLA - LA MANCHA;85-89;47.001
Ambos sexos;CASTILLA - LA MANCHA;90-94;22.538
Ambos sexos;CASTILLA - LA MANCHA;95-99;5.474
Ambos sexos;CASTILLA - LA MANCHA;100 y más;770
Ambos sexos;Albacete;Total;385.927
Ambos sexos;Albacete;0-4;14.915
Ambos sexos;Albacete;5-9;18.328
Ambos sexos;Albacete;10-14;20.300
Ambos sexos;Albacete;15-19;20.022
Ambos sexos;Albacete;20-24;21.068
Ambos sexos;Albacete;25-29;21.460
Ambos sexos;Albacete;30-34;22.758
Ambos sexos;Albacete;35-39;25.257
Ambos sexos;Albacete;40-44;30.140
Ambos sexos;Albacete;45-49;30.712
Ambos sexos;Albacete;50-54;30.864
Ambos sexos;Albacete;55-59;29.886
Ambos sexos;Albacete;60-64;25.117
Ambos sexos;Albacete;65-69;18.853
Ambos sexos;Albacete;70-74;16.642
Ambos sexos;Albacete;75-79;13.954
Ambos sexos;Albacete;80-84;11.801
Ambos sexos;Albacete;85-89;8.786
Ambos sexos;Albacete;90-94;4.042
Ambos sexos;Albacete;95-99;885
Ambos sexos;Albacete;100 y más;137
Ambos sexos;Ciudad Real;Total;492.209
Ambos sexos;Ciudad Real;0-4;18.999
Ambos sexos;Ciudad Real;5-9;22.895
Ambos sexos;Ciudad Real;10-14;25.810
Ambos sexos;Ciudad Real;15-19;24.858
Ambos sexos;Ciudad Real;20-24;26.380
Ambos sexos;Ciudad Real;25-29;28.035
Ambos sexos;Ciudad Real;30-34;29.265
Ambos sexos;Ciudad Real;35-39;32.149
Ambos sexos;Ciudad Real;40-44;36.927
Ambos sexos;Ciudad Real;45-49;37.257
Ambos sexos;Ciudad Real;50-54;38.378
Ambos sexos;Ciudad Real;55-59;38.086
Ambos sexos;Ciudad Real;60-64;33.165
Ambos sexos;Ciudad Real;65-69;24.995
Ambos sexos;Ciudad Real;70-74;22.488
Ambos sexos;Ciudad Real;75-79;18.157
Ambos sexos;Ciudad Real;80-84;15.391
Ambos sexos;Ciudad Real;85-89;11.978
Ambos sexos;Ciudad Real;90-94;5.534
Ambos sexos;Ciudad Real;95-99;1.282
Ambos sexos;Ciudad Real;100 y más;180
Ambos sexos;Cuenca;Total;195.315
Ambos sexos;Cuenca;0-4;6.653
Ambos sexos;Cuenca;5-9;8.087
Ambos sexos;Cuenca;10-14;9.012
Ambos sexos;Cuenca;15-19;9.412
Ambos sexos;Cuenca;20-24;10.211
Ambos sexos;Cuenca;25-29;10.628
Ambos sexos;Cuenca;30-34;11.240
Ambos sexos;Cuenca;35-39;11.940
Ambos sexos;Cuenca;40-44;14.079
Ambos sexos;Cuenca;45-49;14.407
Ambos sexos;Cuenca;50-54;15.577
Ambos sexos;Cuenca;55-59;15.639
Ambos sexos;Cuenca;60-64;13.549
Ambos sexos;Cuenca;65-69;10.098
Ambos sexos;Cuenca;70-74;9.164
Ambos sexos;Cuenca;75-79;8.020
Ambos sexos;Cuenca;80-84;7.627
Ambos sexos;Cuenca;85-89;6.196
Ambos sexos;Cuenca;90-94;2.989
Ambos sexos;Cuenca;95-99;690
Ambos sexos;Cuenca;100 y más;97
Ambos sexos;Guadalajara;Total;265.566
Ambos sexos;Guadalajara;0-4;11.574
Ambos sexos;Guadalajara;5-9;14.602
Ambos sexos;Guadalajara;10-14;16.149
Ambos sexos;Guadalajara;15-19;14.684
Ambos sexos;Guadalajara;20-24;13.531
Ambos sexos;Guadalajara;25-29;13.535
Ambos sexos;Guadalajara;30-34;15.503
Ambos sexos;Guadalajara;35-39;19.390
Ambos sexos;Guadalajara;40-44;24.589
Ambos sexos;Guadalajara;45-49;23.792
Ambos sexos;Guadalajara;50-54;21.194
Ambos sexos;Guadalajara;55-59;18.686
Ambos sexos;Guadalajara;60-64;15.540
Ambos sexos;Guadalajara;65-69;11.600
Ambos sexos;Guadalajara;70-74;9.539
Ambos sexos;Guadalajara;75-79;7.204
Ambos sexos;Guadalajara;80-84;5.644
Ambos sexos;Guadalajara;85-89;5.139
Ambos sexos;Guadalajara;90-94;2.739
Ambos sexos;Guadalajara;95-99;817
Ambos sexos;Guadalajara;100 y más;115
Ambos sexos;Toledo;Total;708.775
Ambos sexos;Toledo;0-4;30.803
Ambos sexos;Toledo;5-9;38.605
Ambos sexos;Toledo;10-14;42.461
Ambos sexos;Toledo;15-19;38.738
Ambos sexos;Toledo;20-24;36.703
Ambos sexos;Toledo;25-29;37.112
Ambos sexos;Toledo;30-34;41.133
Ambos sexos;Toledo;35-39;50.935
Ambos sexos;Toledo;40-44;61.493
Ambos sexos;Toledo;45-49;58.462
Ambos sexos;Toledo;50-54;53.976
Ambos sexos;Toledo;55-59;48.987
Ambos sexos;Toledo;60-64;42.405
Ambos sexos;Toledo;65-69;32.936
Ambos sexos;Toledo;70-74;28.738
Ambos sexos;Toledo;75-79;22.883
Ambos sexos;Toledo;80-84;18.228
Ambos sexos;Toledo;85-89;14.902
Ambos sexos;Toledo;90-94;7.234
Ambos sexos;Toledo;95-99;1.800
Ambos sexos;Toledo;100 y más;241
Ambos sexos;CATALUÑA;Total;7.756.928
Ambos sexos;CATALUÑA;0-4;321.888
Ambos sexos;CATALUÑA;5-9;386.928
Ambos sexos;CATALUÑA;10-14;428.838
Ambos sexos;CATALUÑA;15-19;408.221
Ambos sexos;CATALUÑA;20-24;400.989
Ambos sexos;CATALUÑA;25-29;435.763
Ambos sexos;CATALUÑA;30-34;472.285
Ambos sexos;CATALUÑA;35-39;539.696
Ambos sexos;CATALUÑA;40-44;656.626
Ambos sexos;CATALUÑA;45-49;655.776
Ambos sexos;CATALUÑA;50-54;585.453
Ambos sexos;CATALUÑA;55-59;524.455
Ambos sexos;CATALUÑA;60-64;461.778
Ambos sexos;CATALUÑA;65-69;391.994
Ambos sexos;CATALUÑA;70-74;353.234
Ambos sexos;CATALUÑA;75-79;280.586
Ambos sexos;CATALUÑA;80-84;202.249
Ambos sexos;CATALUÑA;85-89;156.503
Ambos sexos;CATALUÑA;90-94;72.488
Ambos sexos;CATALUÑA;95-99;18.538
Ambos sexos;CATALUÑA;100 y más;2.640
Ambos sexos;Barcelona;Total;5.711.405
Ambos sexos;Barcelona;0-4;234.139
Ambos sexos;Barcelona;5-9;280.838
Ambos sexos;Barcelona;10-14;311.290
Ambos sexos;Barcelona;15-19;298.670
Ambos sexos;Barcelona;20-24;295.280
Ambos sexos;Barcelona;25-29;327.010
Ambos sexos;Barcelona;30-34;354.514
Ambos sexos;Barcelona;35-39;400.290
Ambos sexos;Barcelona;40-44;482.542
Ambos sexos;Barcelona;45-49;486.490
Ambos sexos;Barcelona;50-54;430.884
Ambos sexos;Barcelona;55-59;382.405
Ambos sexos;Barcelona;60-64;336.293
Ambos sexos;Barcelona;65-69;285.457
Ambos sexos;Barcelona;70-74;260.312
Ambos sexos;Barcelona;75-79;209.505
Ambos sexos;Barcelona;80-84;151.667
Ambos sexos;Barcelona;85-89;115.515
Ambos sexos;Barcelona;90-94;52.756
Ambos sexos;Barcelona;95-99;13.668
Ambos sexos;Barcelona;100 y más;1.880
Ambos sexos;Girona;Total;784.991
Ambos sexos;Girona;0-4;34.797
Ambos sexos;Girona;5-9;41.444
Ambos sexos;Girona;10-14;45.708
Ambos sexos;Girona;15-19;42.604
Ambos sexos;Girona;20-24;41.627
Ambos sexos;Girona;25-29;43.391
Ambos sexos;Girona;30-34;46.241
Ambos sexos;Girona;35-39;54.039
Ambos sexos;Girona;40-44;66.651
Ambos sexos;Girona;45-49;64.572
Ambos sexos;Girona;50-54;58.841
Ambos sexos;Girona;55-59;54.110
Ambos sexos;Girona;60-64;47.801
Ambos sexos;Girona;65-69;40.437
Ambos sexos;Girona;70-74;34.776
Ambos sexos;Girona;75-79;25.909
Ambos sexos;Girona;80-84;18.392
Ambos sexos;Girona;85-89;14.695
Ambos sexos;Girona;90-94;6.995
Ambos sexos;Girona;95-99;1.677
Ambos sexos;Girona;100 y más;284
Ambos sexos;Lleida;Total;439.128
Ambos sexos;Lleida;0-4;18.321
Ambos sexos;Lleida;5-9;22.092
Ambos sexos;Lleida;10-14;24.187
Ambos sexos;Lleida;15-19;22.528
Ambos sexos;Lleida;20-24;22.697
Ambos sexos;Lleida;25-29;23.346
Ambos sexos;Lleida;30-34;25.334
Ambos sexos;Lleida;35-39;29.385
Ambos sexos;Lleida;40-44;36.953
Ambos sexos;Lleida;45-49;36.092
Ambos sexos;Lleida;50-54;33.554
Ambos sexos;Lleida;55-59;31.570
Ambos sexos;Lleida;60-64;27.243
Ambos sexos;Lleida;65-69;22.300
Ambos sexos;Lleida;70-74;19.461
Ambos sexos;Lleida;75-79;15.626
Ambos sexos;Lleida;80-84;11.456
Ambos sexos;Lleida;85-89;10.355
Ambos sexos;Lleida;90-94;5.136
Ambos sexos;Lleida;95-99;1.303
Ambos sexos;Lleida;100 y más;189
Ambos sexos;Tarragona;Total;821.404
Ambos sexos;Tarragona;0-4;34.631
Ambos sexos;Tarragona;5-9;42.554
Ambos sexos;Tarragona;10-14;47.653
Ambos sexos;Tarragona;15-19;44.419
Ambos sexos;Tarragona;20-24;41.385
Ambos sexos;Tarragona;25-29;42.016
Ambos sexos;Tarragona;30-34;46.196
Ambos sexos;Tarragona;35-39;55.982
Ambos sexos;Tarragona;40-44;70.480
Ambos sexos;Tarragona;45-49;68.622
Ambos sexos;Tarragona;50-54;62.174
Ambos sexos;Tarragona;55-59;56.370
Ambos sexos;Tarragona;60-64;50.441
Ambos sexos;Tarragona;65-69;43.800
Ambos sexos;Tarragona;70-74;38.685
Ambos sexos;Tarragona;75-79;29.546
Ambos sexos;Tarragona;80-84;20.734
Ambos sexos;Tarragona;85-89;15.938
Ambos sexos;Tarragona;90-94;7.601
Ambos sexos;Tarragona;95-99;1.890
Ambos sexos;Tarragona;100 y más;287
Ambos sexos;COMUNITAT VALENCIANA;Total;5.049.415
Ambos sexos;COMUNITAT VALENCIANA;0-4;197.255
Ambos sexos;COMUNITAT VALENCIANA;5-9;242.852
Ambos sexos;COMUNITAT VALENCIANA;10-14;276.954
Ambos sexos;COMUNITAT VALENCIANA;15-19;262.215
Ambos sexos;COMUNITAT VALENCIANA;20-24;252.813
Ambos sexos;COMUNITAT VALENCIANA;25-29;262.392
Ambos sexos;COMUNITAT VALENCIANA;30-34;285.829
Ambos sexos;COMUNITAT VALENCIANA;35-39;339.735
Ambos sexos;COMUNITAT VALENCIANA;40-44;424.785
Ambos sexos;COMUNITAT VALENCIANA;45-49;423.129
Ambos sexos;COMUNITAT VALENCIANA;50-54;397.888
Ambos sexos;COMUNITAT VALENCIANA;55-59;364.994
Ambos sexos;COMUNITAT VALENCIANA;60-64;323.712
Ambos sexos;COMUNITAT VALENCIANA;65-69;272.849
Ambos sexos;COMUNITAT VALENCIANA;70-74;243.785
Ambos sexos;COMUNITAT VALENCIANA;75-79;191.242
Ambos sexos;COMUNITAT VALENCIANA;80-84;140.376
Ambos sexos;COMUNITAT VALENCIANA;85-89;95.000
Ambos sexos;COMUNITAT VALENCIANA;90-94;40.697
Ambos sexos;COMUNITAT VALENCIANA;95-99;9.450
Ambos sexos;COMUNITAT VALENCIANA;100 y más;1.463
Ambos sexos;Alicante/Alacant;Total;1.878.970
Ambos sexos;Alicante/Alacant;0-4;73.565
Ambos sexos;Alicante/Alacant;5-9;89.652
Ambos sexos;Alicante/Alacant;10-14;102.296
Ambos sexos;Alicante/Alacant;15-19;97.185
Ambos sexos;Alicante/Alacant;20-24;93.573
Ambos sexos;Alicante/Alacant;25-29;97.094
Ambos sexos;Alicante/Alacant;30-34;107.940
Ambos sexos;Alicante/Alacant;35-39;126.415
Ambos sexos;Alicante/Alacant;40-44;154.174
Ambos sexos;Alicante/Alacant;45-49;154.121
Ambos sexos;Alicante/Alacant;50-54;146.392
Ambos sexos;Alicante/Alacant;55-59;136.751
Ambos sexos;Alicante/Alacant;60-64;122.113
Ambos sexos;Alicante/Alacant;65-69;105.710
Ambos sexos;Alicante/Alacant;70-74;95.391
Ambos sexos;Alicante/Alacant;75-79;73.403
Ambos sexos;Alicante/Alacant;80-84;52.097
Ambos sexos;Alicante/Alacant;85-89;33.283
Ambos sexos;Alicante/Alacant;90-94;14.021
Ambos sexos;Alicante/Alacant;95-99;3.236
Ambos sexos;Alicante/Alacant;100 y más;558
Ambos sexos;Castellón/Castelló;Total;586.907
Ambos sexos;Castellón/Castelló;0-4;23.642
Ambos sexos;Castellón/Castelló;5-9;28.767
Ambos sexos;Castellón/Castelló;10-14;32.473
Ambos sexos;Castellón/Castelló;15-19;30.255
Ambos sexos;Castellón/Castelló;20-24;28.994
Ambos sexos;Castellón/Castelló;25-29;29.523
Ambos sexos;Castellón/Castelló;30-34;32.557
Ambos sexos;Castellón/Castelló;35-39;39.219
Ambos sexos;Castellón/Castelló;40-44;50.427
Ambos sexos;Castellón/Castelló;45-49;49.556
Ambos sexos;Castellón/Castelló;50-54;47.178
Ambos sexos;Castellón/Castelló;55-59;41.916
Ambos sexos;Castellón/Castelló;60-64;37.165
Ambos sexos;Castellón/Castelló;65-69;30.965
Ambos sexos;Castellón/Castelló;70-74;27.590
Ambos sexos;Castellón/Castelló;75-79;21.983
Ambos sexos;Castellón/Castelló;80-84;15.989
Ambos sexos;Castellón/Castelló;85-89;11.956
Ambos sexos;Castellón/Castelló;90-94;5.307
Ambos sexos;Castellón/Castelló;95-99;1.267
Ambos sexos;Castellón/Castelló;100 y más;178
Ambos sexos;Valencia/València;Total;2.583.538
Ambos sexos;Valencia/València;0-4;100.048
Ambos sexos;Valencia/València;5-9;124.433
Ambos sexos;Valencia/València;10-14;142.185
Ambos sexos;Valencia/València;15-19;134.775
Ambos sexos;Valencia/València;20-24;130.246
Ambos sexos;Valencia/València;25-29;135.775
Ambos sexos;Valencia/València;30-34;145.332
Ambos sexos;Valencia/València;35-39;174.101
Ambos sexos;Valencia/València;40-44;220.184
Ambos sexos;Valencia/València;45-49;219.452
Ambos sexos;Valencia/València;50-54;204.318
Ambos sexos;Valencia/València;55-59;186.327
Ambos sexos;Valencia/València;60-64;164.434
Ambos sexos;Valencia/València;65-69;136.174
Ambos sexos;Valencia/València;70-74;120.804
Ambos sexos;Valencia/València;75-79;95.856
Ambos sexos;Valencia/València;80-84;72.290
Ambos sexos;Valencia/València;85-89;49.761
Ambos sexos;Valencia/València;90-94;21.369
Ambos sexos;Valencia/València;95-99;4.947
Ambos sexos;Valencia/València;100 y más;727
Ambos sexos;EXTREMADURA;Total;1.058.763
Ambos sexos;EXTREMADURA;0-4;39.485
Ambos sexos;EXTREMADURA;5-9;46.747
Ambos sexos;EXTREMADURA;10-14;53.046
Ambos sexos;EXTREMADURA;15-19;52.646
Ambos sexos;EXTREMADURA;20-24;54.245
Ambos sexos;EXTREMADURA;25-29;57.410
Ambos sexos;EXTREMADURA;30-34;62.011
Ambos sexos;EXTREMADURA;35-39;68.182
Ambos sexos;EXTREMADURA;40-44;77.623
Ambos sexos;EXTREMADURA;45-49;80.787
Ambos sexos;EXTREMADURA;50-54;83.664
Ambos sexos;EXTREMADURA;55-59;84.982
Ambos sexos;EXTREMADURA;60-64;73.659
Ambos sexos;EXTREMADURA;65-69;57.317
Ambos sexos;EXTREMADURA;70-74;49.061
Ambos sexos;EXTREMADURA;75-79;41.905
Ambos sexos;EXTREMADURA;80-84;33.532
Ambos sexos;EXTREMADURA;85-89;27.755
Ambos sexos;EXTREMADURA;90-94;11.458
Ambos sexos;EXTREMADURA;95-99;2.826
Ambos sexos;EXTREMADURA;100 y más;422
Ambos sexos;Badajoz;Total;669.733
Ambos sexos;Badajoz;0-4;26.787
Ambos sexos;Badajoz;5-9;31.157
Ambos sexos;Badajoz;10-14;35.206
Ambos sexos;Badajoz;15-19;34.398
Ambos sexos;Badajoz;20-24;35.562
Ambos sexos;Badajoz;25-29;37.884
Ambos sexos;Badajoz;30-34;40.553
Ambos sexos;Badajoz;35-39;44.113
Ambos sexos;Badajoz;40-44;50.027
Ambos sexos;Badajoz;45-49;51.971
Ambos sexos;Badajoz;50-54;52.509
Ambos sexos;Badajoz;55-59;52.255
Ambos sexos;Badajoz;60-64;44.351
Ambos sexos;Badajoz;65-69;34.535
Ambos sexos;Badajoz;70-74;30.142
Ambos sexos;Badajoz;75-79;25.310
Ambos sexos;Badajoz;80-84;19.606
Ambos sexos;Badajoz;85-89;15.605
Ambos sexos;Badajoz;90-94;6.145
Ambos sexos;Badajoz;95-99;1.443
Ambos sexos;Badajoz;100 y más;174
Ambos sexos;Cáceres;Total;389.030
Ambos sexos;Cáceres;0-4;12.698
Ambos sexos;Cáceres;5-9;15.590
Ambos sexos;Cáceres;10-14;17.840
Ambos sexos;Cáceres;15-19;18.248
Ambos sexos;Cáceres;20-24;18.683
Ambos sexos;Cáceres;25-29;19.526
Ambos sexos;Cáceres;30-34;21.458
Ambos sexos;Cáceres;35-39;24.069
Ambos sexos;Cáceres;40-44;27.596
Ambos sexos;Cáceres;45-49;28.816
Ambos sexos;Cáceres;50-54;31.155
Ambos sexos;Cáceres;55-59;32.727
Ambos sexos;Cáceres;60-64;29.308
Ambos sexos;Cáceres;65-69;22.782
Ambos sexos;Cáceres;70-74;18.919
Ambos sexos;Cáceres;75-79;16.595
Ambos sexos;Cáceres;80-84;13.926
Ambos sexos;Cáceres;85-89;12.150
Ambos sexos;Cáceres;90-94;5.313
Ambos sexos;Cáceres;95-99;1.383
Ambos sexos;Cáceres;100 y más;248
Ambos sexos;GALICIA;Total;2.694.245
Ambos sexos;GALICIA;0-4;87.029
Ambos sexos;GALICIA;5-9;105.880
Ambos sexos;GALICIA;10-14;117.338
Ambos sexos;GALICIA;15-19;112.049
Ambos sexos;GALICIA;20-24;109.687
Ambos sexos;GALICIA;25-29;119.650
Ambos sexos;GALICIA;30-34;136.618
Ambos sexos;GALICIA;35-39;172.985
Ambos sexos;GALICIA;40-44;221.018
Ambos sexos;GALICIA;45-49;221.924
Ambos sexos;GALICIA;50-54;211.187
Ambos sexos;GALICIA;55-59;197.199
Ambos sexos;GALICIA;60-64;187.648
Ambos sexos;GALICIA;65-69;165.392
Ambos sexos;GALICIA;70-74;157.370
Ambos sexos;GALICIA;75-79;134.483
Ambos sexos;GALICIA;80-84;100.344
Ambos sexos;GALICIA;85-89;85.700
Ambos sexos;GALICIA;90-94;38.640
Ambos sexos;GALICIA;95-99;10.138
Ambos sexos;GALICIA;100 y más;1.966
Ambos sexos;Coruña, A;Total;1.119.545
Ambos sexos;Coruña, A;0-4;37.034
Ambos sexos;Coruña, A;5-9;45.144
Ambos sexos;Coruña, A;10-14;49.395
Ambos sexos;Coruña, A;15-19;46.475
Ambos sexos;Coruña, A;20-24;45.167
Ambos sexos;Coruña, A;25-29;48.946
Ambos sexos;Coruña, A;30-34;56.390
Ambos sexos;Coruña, A;35-39;72.975
Ambos sexos;Coruña, A;40-44;93.128
Ambos sexos;Coruña, A;45-49;94.147
Ambos sexos;Coruña, A;50-54;88.207
Ambos sexos;Coruña, A;55-59;82.408
Ambos sexos;Coruña, A;60-64;77.819
Ambos sexos;Coruña, A;65-69;68.541
Ambos sexos;Coruña, A;70-74;65.445
Ambos sexos;Coruña, A;75-79;55.302
Ambos sexos;Coruña, A;80-84;40.193
Ambos sexos;Coruña, A;85-89;33.803
Ambos sexos;Coruña, A;90-94;14.720
Ambos sexos;Coruña, A;95-99;3.670
Ambos sexos;Coruña, A;100 y más;636
Ambos sexos;Lugo;Total;325.851
Ambos sexos;Lugo;0-4;9.669
Ambos sexos;Lugo;5-9;11.233
Ambos sexos;Lugo;10-14;11.644
Ambos sexos;Lugo;15-19;11.320
Ambos sexos;Lugo;20-24;11.997
Ambos sexos;Lugo;25-29;13.806
Ambos sexos;Lugo;30-34;16.388
Ambos sexos;Lugo;35-39;20.259
Ambos sexos;Lugo;40-44;24.324
Ambos sexos;Lugo;45-49;24.193
Ambos sexos;Lugo;50-54;24.953
Ambos sexos;Lugo;55-59;25.235
Ambos sexos;Lugo;60-64;24.339
Ambos sexos;Lugo;65-69;21.297
Ambos sexos;Lugo;70-74;19.465
Ambos sexos;Lugo;75-79;17.935
Ambos sexos;Lugo;80-84;15.051
Ambos sexos;Lugo;85-89;13.830
Ambos sexos;Lugo;90-94;6.818
Ambos sexos;Lugo;95-99;1.792
Ambos sexos;Lugo;100 y más;303
Ambos sexos;Ourense;Total;304.910
Ambos sexos;Ourense;0-4;8.205
Ambos sexos;Ourense;5-9;10.130
Ambos sexos;Ourense;10-14;11.287
Ambos sexos;Ourense;15-19;10.956
Ambos sexos;Ourense;20-24;11.355
Ambos sexos;Ourense;25-29;12.901
Ambos sexos;Ourense;30-34;14.387
Ambos sexos;Ourense;35-39;17.703
Ambos sexos;Ourense;40-44;21.877
Ambos sexos;Ourense;45-49;22.173
Ambos sexos;Ourense;50-54;22.779
Ambos sexos;Ourense;55-59;22.449
Ambos sexos;Ourense;60-64;22.279
Ambos sexos;Ourense;65-69;20.254
Ambos sexos;Ourense;70-74;20.359
Ambos sexos;Ourense;75-79;18.976
Ambos sexos;Ourense;80-84;14.892
Ambos sexos;Ourense;85-89;13.431
Ambos sexos;Ourense;90-94;6.328
Ambos sexos;Ourense;95-99;1.813
Ambos sexos;Ourense;100 y más;376
Ambos sexos;Pontevedra;Total;943.939
Ambos sexos;Pontevedra;0-4;32.121
Ambos sexos;Pontevedra;5-9;39.373
Ambos sexos;Pontevedra;10-14;45.012
Ambos sexos;Pontevedra;15-19;43.298
Ambos sexos;Pontevedra;20-24;41.168
Ambos sexos;Pontevedra;25-29;43.997
Ambos sexos;Pontevedra;30-34;49.453
Ambos sexos;Pontevedra;35-39;62.048
Ambos sexos;Pontevedra;40-44;81.689
Ambos sexos;Pontevedra;45-49;81.411
Ambos sexos;Pontevedra;50-54;75.248
Ambos sexos;Pontevedra;55-59;67.107
Ambos sexos;Pontevedra;60-64;63.211
Ambos sexos;Pontevedra;65-69;55.300
Ambos sexos;Pontevedra;70-74;52.101
Ambos sexos;Pontevedra;75-79;42.270
Ambos sexos;Pontevedra;80-84;30.208
Ambos sexos;Pontevedra;85-89;24.636
Ambos sexos;Pontevedra;90-94;10.774
Ambos sexos;Pontevedra;95-99;2.863
Ambos sexos;Pontevedra;100 y más;651
Ambos sexos;MADRID, COMUNIDAD DE;Total;6.745.591
Ambos sexos;MADRID, COMUNIDAD DE;0-4;288.747
Ambos sexos;MADRID, COMUNIDAD DE;5-9;339.325
Ambos sexos;MADRID, COMUNIDAD DE;10-14;362.199
Ambos sexos;MADRID, COMUNIDAD DE;15-19;344.672
Ambos sexos;MADRID, COMUNIDAD DE;20-24;346.969
Ambos sexos;MADRID, COMUNIDAD DE;25-29;392.893
Ambos sexos;MADRID, COMUNIDAD DE;30-34;428.583
Ambos sexos;MADRID, COMUNIDAD DE;35-39;490.476
Ambos sexos;MADRID, COMUNIDAD DE;40-44;577.040
Ambos sexos;MADRID, COMUNIDAD DE;45-49;581.083
Ambos sexos;MADRID, COMUNIDAD DE;50-54;520.785
Ambos sexos;MADRID, COMUNIDAD DE;55-59;465.089
Ambos sexos;MADRID, COMUNIDAD DE;60-64;394.780
Ambos sexos;MADRID, COMUNIDAD DE;65-69;322.418
Ambos sexos;MADRID, COMUNIDAD DE;70-74;292.076
Ambos sexos;MADRID, COMUNIDAD DE;75-79;232.059
Ambos sexos;MADRID, COMUNIDAD DE;80-84;167.002
Ambos sexos;MADRID, COMUNIDAD DE;85-89;123.650
Ambos sexos;MADRID, COMUNIDAD DE;90-94;58.022
Ambos sexos;MADRID, COMUNIDAD DE;95-99;15.288
Ambos sexos;MADRID, COMUNIDAD DE;100 y más;2.435
Ambos sexos;MURCIA, REGIÓN DE;Total;1.517.938
Ambos sexos;MURCIA, REGIÓN DE;0-4;73.836
Ambos sexos;MURCIA, REGIÓN DE;5-9;85.537
